@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,male,783,1.05913666853,10,night,3,6.14,1.60943791243
?,female,875,1.17283842577,9,evening,184,3.76,1.09861228867
?,male,586,0.630760430708,4,early_morning,26,6.051,1.09861228867
?,female,1053,0.589944063844,8,post_midnight,26,19.3,0
?,male,767,0.957878977474,10,post_midnight,77,2.58,0
?,female,598,0.736385385066,10,post_midnight,0,3.88,0
21,female,936,0.0625,1,evening,53,9.583,2.3978952728
?,female,1271,0,2,post_midnight,475,6.263,3.295836866
?,female,1002,0.738358841033,1,early_morning,102,11.03,2.83321334406
?,male,1290,0.718440685052,3,evening,112,7.6,1.60943791243
21,male,1252,0.977642636772,2,post_midnight,201,32.81,3.43398720449
?,male,1224,0.681249228693,6,post_midnight,1,5.25,1.09861228867
?,female,864,1.73507195642,9,evening,166,3.443,2.56494935746
?,male,353,1.36576095583,7,early_morning,3,4.247,1.09861228867
?,female,?,0.694286332858,10,afternoon,157,5.223,1.79175946923
?,female,439,0,12,evening,528,3.258,0.69314718056
?,female,1286,1.07874013415,7,post_midnight,78,4.884,0.69314718056
22,female,983,0,10,afternoon,82,10.46,0.0
?,male,?,0.502913282835,5,post_midnight,945,2.6,0.69314718056
?,male,1463,0.804367583231,3,early_morning,11,19.85,1.79175946923
?,female,?,0.759103149473,3,afternoon,83,17.4,3.04452243772
32,female,854,0.749493516112,9,evening,28,12.91,1.38629436112
?,female,484,1.775621578,2,post_midnight,32,4.613,3.43398720449
21,female,435,0.489462872114,2,night,92,1.606,0
?,female,864,0,9,afternoon,11,5.32,3.40119738166
?,female,616,0.673363550229,7,post_midnight,144,4.908,0.69314718056
?,female,864,0.552603419534,9,post_midnight,179,3.443,0
21,female,1345,1.00520490493,12,evening,107,4.602,2.56494935746
?,male,511,1.96257104607,5,evening,23,6.24,3.63758615973
?,female,750,0.772756056964,11,post_midnight,78,17.84,3.09104245336
?,female,794,0,7,afternoon,3,19.21,3.25809653802
?,female,764,0.94748509916,5,afternoon,98,6.727,2.19722457734
?,female,747,0.589438858679,11,early_morning,60,4.34,0.69314718056
?,female,406,1.09304879811,3,post_midnight,842,7.387,1.09861228867
?,male,305,0.333021151902,12,evening,72,5.031,2.3978952728
?,male,?,0.835854555272,9,evening,235,7.36,2.48490664979
23,male,968,0.257009558234,9,post_midnight,527,4.134,0.0
22,male,516,1.34059003979,10,post_midnight,0,5.62,0.69314718056
?,female,685,0.734738851774,10,early_morning,33,9.38,2.3978952728
21,female,567,0.702397316533,2,evening,43,16.535,3.73766961828
22,male,784,1.27963640354,10,post_midnight,741,3.91,0.69314718056
?,male,769,0.448727186214,6,early_morning,144,7.73,1.38629436112
?,female,712,1.83276041759,11,early_morning,3925,3.707,2.77258872224
?,female,347,0.792908998583,3,post_midnight,141,2.51,1.09861228867
22,male,353,0.893182436758,5,early_morning,46,2.87,0
?,female,905,0.85189714966,8,evening,14,5.08,1.60943791243
20,male,921,0.796495954085,10,post_midnight,32,5.99,0
?,female,682,0.487102006494,5,post_midnight,383,5.0,0.69314718056
